Region,Status,Construction Amount,Federal Funding,State Funding,Local Funding,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
11 NEW YORK CITY,Under Construction,,,Yes,,12029578,2020-07-07T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,,Yes,,11265099.15,2018-11-21T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,8800000,Yes,Yes,,,,,
11 NEW YORK CITY,Under Construction,,Yes,Yes,,7169844.21,2019-10-29T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,31617276.2,2021-03-01T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,Yes,Yes,,8346282.17,2018-11-04T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,3093998,2021-02-16T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,138780000,2019-07-06T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,Yes,204170000,2020-04-01T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,Yes,118975000,2022-03-09T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,5969507.86,2020-02-02T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,3481108,2019-09-25T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Under Construction,,Yes,Yes,,109691539.4,2019-10-21T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,317897643.5,2019-07-11T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,17817148,2022-01-19T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,13020000,2020-05-30T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,6073175,2019-05-21T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,10555555,2021-02-07T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,17680350,2019-02-02T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,,Yes,,10665300,2020-02-18T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,17582667.03,2019-03-19T00:00:00.000,GREEN,RED
11 NEW YORK CITY,In Development,1200000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,15200000,,Yes,,,,,
11 NEW YORK CITY,In Development,12500000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,24700000,,Yes,,,,,
11 NEW YORK CITY,In Development,63400000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,4200000,,Yes,,,,,
11 NEW YORK CITY,In Development,1500000,,Yes,,,,,
11 NEW YORK CITY,In Development,17600000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,10200000,,Yes,,,,,
11 NEW YORK CITY,In Development,83200000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,17500000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,551700000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,,,Yes,,,,,
11 NEW YORK CITY,In Development,14100000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,7000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,29100000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,46900000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,363600000,Yes,Yes,Yes,,,,
11 NEW YORK CITY,In Development,112000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,15400000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,16000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,250800000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,50700000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,3000000,,Yes,,,,,
11 NEW YORK CITY,In Development,19000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,8000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,23500000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,13100000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,2700000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,113000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,11100000,,Yes,,,,,
11 NEW YORK CITY,In Development,18400000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,240000000,,Yes,,,,,
11 NEW YORK CITY,In Development,142000000,Yes,Yes,,,,,
11 NEW YORK CITY,In Development,20000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,8200000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,8600000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,,,Yes,,,,,
11 NEW YORK CITY,Future Development,4600000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,4000000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,4200000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,141900000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,20000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,29700000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,25800000,Yes,Yes,,,,,
11 NEW YORK CITY,Future Development,11400000,,Yes,,,,,
11 NEW YORK CITY,Future Development,3400000,,Yes,,,,,
11 NEW YORK CITY,Future Development,3000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,3000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,5200000,,Yes,,,,,
11 NEW YORK CITY,Future Development,10000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,10000000,,Yes,,,,,
11 NEW YORK CITY,Future Development,10000000,,Yes,,,,,
11 NEW YORK CITY,Completed Project,,,Yes,,21679686.36,2018-12-18T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,7082538.11,2019-07-24T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,3738350.85,2019-01-01T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,6489988.07,2019-02-03T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,,Yes,,55134018.47,2018-11-11T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,7769201.03,2019-04-17T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,,Yes,,4854822.21,2019-03-05T00:00:00.000,RED,RED
11 NEW YORK CITY,Completed Project,,Yes,Yes,,12171825.92,2018-12-11T00:00:00.000,RED,YELLOW
11 NEW YORK CITY,Completed Project,,,Yes,,11473974.13,2018-11-15T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,1107270.5,2018-09-19T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,56212304.51,2018-10-12T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Completed Project,,Yes,Yes,,134088314.7,2018-08-28T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Completed Project,,Yes,Yes,,53111942.62,2018-12-13T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Completed Project,,Yes,Yes,Yes,10754974,2018-09-13T00:00:00.000,RED,RED
11 NEW YORK CITY,Completed Project,,Yes,Yes,,7845002.26,2018-05-24T00:00:00.000,RED,GREEN
MAIN OFFICE,Under Construction,,,Yes,,5014953,2021-08-31T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,8725163.2,2018-09-27T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,2930266.4,2021-08-31T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,2140500,2021-03-09T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,2949833.61,2021-08-31T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,2291706,2021-08-31T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,5752029.43,2019-01-30T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,,Yes,,2454543.81,2019-05-30T00:00:00.000,RED,GREEN
MAIN OFFICE,Under Construction,,Yes,Yes,,6232400,2020-11-25T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Under Construction,,Yes,Yes,,7358198.2,2021-01-02T00:00:00.000,GREEN,GREEN
MAIN OFFICE,In Development,500000,,Yes,,,,,
MAIN OFFICE,In Development,1800000,,Yes,,,,,
MAIN OFFICE,In Development,,,Yes,,,,,
MAIN OFFICE,In Development,70000000,Yes,Yes,,,,,
MAIN OFFICE,Future Development,0,Yes,,,,,,
MAIN OFFICE,Completed Project,,,Yes,,2214943.41,2019-05-03T00:00:00.000,RED,RED
MAIN OFFICE,Completed Project,,,Yes,,2102023.12,2019-04-26T00:00:00.000,GREEN,RED
MAIN OFFICE,Completed Project,,,Yes,,3033764.38,2019-06-27T00:00:00.000,RED,RED
MAIN OFFICE,Completed Project,,,Yes,,23351.5,2019-03-01T00:00:00.000,GREEN,GREEN
MAIN OFFICE,Completed Project,,,Yes,,807505.14,2019-05-10T00:00:00.000,RED,GREEN
