Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
6DRN17,D263617,06 SOUTHERN TIER/CENTRAL NEW YORK,CULVERT JOC2,CULVERT MAINTENANCE TO ADDRESS IDENTIFIED MAINTENANCE NEEDS AT VARIOUS LOCATIONS IN STEUBEN COUNTY.,Under Construction,,11/30/2017,,,,No,Yes,No,This project involves the repair and replacement of culverts.,A project to perform culvert maintenance at various locations in Steuben County.,2018-01-23T00:00:00.000,855832.99,170000,1025832.99,2018-12-02T00:00:00.000,GREEN,RED
6V1946,,06 SOUTHERN TIER/CENTRAL NEW YORK,FOB ROUTE 36 - NORTH OF ADSIT ST TO BIG CK (BINS 1069431&2),"A project to perform preventive maintenance paving on NY 36 from approximately 450' north of Adsit Street to the bridges over Big Creek in the town of Hornellsville, Steuben County.",Under Construction,,Winter 2018/2019,Spring 2019,Fall 2019,700000,No,Yes,No,This project involves the use of paving equipment to apply treatments to strengthen pavement.,"A project to perform preventive maintenance paving on NY 36 from approximately 450' north of Adsit Street to the bridges over Big Creek in the town of Hornellsville, Steuben County.",,,,,,,
680544,D263905,06 SOUTHERN TIER/CENTRAL NEW YORK,GUIDERAIL REPAIR & REPLACEMENT (WAS 6GDR18),"GUIDERAIL REPAIR AND REPLACEMENTS IN ONE OR MORE OF THE FOLLOWING COUNTIES: ALLEGANY, SCHUYLER, STEUBEN AND YATES COUNTIES. (FORMERLY PIN: 6GDR18)",Under Construction,Fall 2018,2/14/2019,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"A project to address needed guiderail repairs and upgrades at various locations in one or more of the following counties: Allegany, Schuyler, Steuben and Yates.",2019-03-18T00:00:00.000,1317209.2,0,1317209.2,2019-10-01T00:00:00.000,GREEN,GREEN
6VHWP4,,06 SOUTHERN TIER/CENTRAL NEW YORK,HARSH WINTER PAVING - NY 14A - LAKE STREET TO THE WINDMILL,"NY 14A MAINTENANCE PAVING FROM LAKE STREET TO THE WINDMILL, TOWN OF , COUNTY.",Under Construction,,Spring 2019,Summer 2019,Fall 2019,1300000,No,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"Maintenance paving of NY 14A from Lake Street to Cook Road in the town of Milo, Schuyler county.",,,,,,,
6VHWP8,,06 SOUTHERN TIER/CENTRAL NEW YORK,HARSH WINTER PAVING - NY 19 - GLF RD TO CR 49,"PAVEMENT RESURFACING OF NY 19 FROM GLF ROAD, TOWN OF BELFAST TO CR 49, TOWN OF CANEADEA, ALLEGANY COUNTY",Under Construction,,Spring 2019,Summer 2019,Fall 2019,600000,No,Yes,No,This project involves applying treatments to existing pavement in order to extend its life against traffic wear.,"A project to perform pavement resurfacing of NY 19 from the intersection of GLF Road in Belfast to the intersection of CR 49 in the town of Caneadea, Allegany County.",,,,,,,
6VHWP6,,06 SOUTHERN TIER/CENTRAL NEW YORK,HARSH WINTER PAVING - NY 223 HORSHEADS TO ERIN,MAINTENANCE PAVING OF NY 223 FROM HORSEHEADS TO ERIN.  ,Under Construction,,Spring 2019,Summer 2019,Fall 2019,900000,No,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"A project to perform maintenance paving on NY 223 from the bridge that carries NY 13 over North Branch Creek in the town of Horseheads to the vicinity of the Scotchtown Cemetary in the town of Erin, Chemung County.",,,,,,,
6VHWP3,,06 SOUTHERN TIER/CENTRAL NEW YORK,HARSH WINTER PAVING - NY 417 - GANG MILLS TO WOODHULL,"NY 417 MAINTENANCE PAVING - GANG MILLS TO WOODHULL, STEUBEN COUNTY.",Under Construction,,Spring 2019,Summer 2019,Winter 2019/2020,2500000,No,Yes,No,"This project involves roadway repairs by ""recycling"" the current pavement using a hot process.","A project to perform maintenance paving of selected sections of NY 417 between Gang Mills and Woodhull, Steuben County.",,,,,,,
6VHWP5,,06 SOUTHERN TIER/CENTRAL NEW YORK,HARSH WINTER PAVING - NY 79 FROM NY 414 TO NY 227,"MAINTENANCE PAVING OF NY 79 FROM NY 414 to NY 227, EXCLUDING THE VILLAGE OF BURDETT IN THE TOWN OF HECTOR. SCHUYLER COUNTY.  ",Under Construction,,Spring 2019,Summer 2019,Fall 2019,1500000,No,Yes,No,"This project involves roadway repairs by ""recycling"" the current pavement using a hot process.","Maintenance paving on NY 79 from NY 414 to western Village of Burdett line and from the eastern Burdett village line to NY 227 in the town of Hector, Schuyler County.",,,,,,,
621826,D263647,06 SOUTHERN TIER/CENTRAL NEW YORK,"I390/CR 90 DECK REPS & MBC PAVING, RT 248/BENNETTS TPO","Federal Aid Eligible BRIDGE  DECK REPLACEMENTS, BINS 1090741/1090742, TPO ON BIN 1043200 RT 248/BENNETT'S CK AND I-390 PAVING FROM WAYLAND TO THE LIVINGSTON COUNTY LINE, TOWN OF WAYLAND,  STEUBEN COUNTY",Under Construction,Winter 2014/2015,1/25/2018,,,,Yes,Yes,No,This project involves replacing bridge decks.,"A project to replace bridge decks on two bridges that carry Interstate 390 over County Road 90 in the town of Wayland, pave I-390 from Wayland to the Livingston county line, and seal the deck on bridge that carries RT 248 over Bennett's Creek in the town ",2018-02-12T00:00:00.000,7067629.97,336249.3,7403879.27,2019-10-18T00:00:00.000,GREEN,GREEN
621829,D263861,06 SOUTHERN TIER/CENTRAL NEW YORK,"I-390 NB OVER CR 7 DECK REPLACEMENT, BIN 1090592","I-390 / CR 7 BRIDGE DECK REPLACEMENT, BIN 1090592 TOWN OF AVOCA, STEUBEN COUNTY",Under Construction,Fall 2016,1/10/2019,,,,Yes,Yes,No,This project involves replacing bridge decks.,"A project to replace the deck of a bridge that carries Interstate 390 northbound over County Route 7 in the town of Avoca, Steuben County.",2019-02-20T00:00:00.000,984695.36,0,984695.36,2019-12-06T00:00:00.000,GREEN,GREEN
606718,D263640,06 SOUTHERN TIER/CENTRAL NEW YORK,I-86 MBC PAVING - CHEMUNG C.L. TO EXIT 52A,"A FEDERAL AID ELIGIBLE PAVEMENT RESURFACING OF I-86 TO CORRECT IDENTIFIED PAVEMENT DEFICENCIES BETWEEN THE STEUBEN/CHEMUNG COUNTY LINE AND EXIT 52A, TOWNS OF BIG FLATS AND HORSEHEADS, CHEMUNG COUNTY.",Under Construction,Fall 2015,1/11/2018,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"A project to perform maintenance paving on Interstate 86 from the Chemung county line to Exit 52A in the town of Big Flats, Chemung County.  ",2018-02-14T00:00:00.000,7273873.14,-138062.72,7135810.42,2018-10-17T00:00:00.000,GREEN,GREEN
6JOB18,D263840,06 SOUTHERN TIER/CENTRAL NEW YORK,JOB ORDER CONTRACT BRIDGE MAINTENANCE,"BRIDGE MAINTENANCE, VARIOUS STRUCTURES AT LOCATIONS IN ONE OR MORE OF THE FOLLOWING COUNTIES: ALLEGANY, CHEMUNG, SCHUYLER, STEUBEN AND YATES.",Under Construction,Summer 2018,12/13/2018,,,,Yes,Yes,No,This project involves bridge repairs as needs arise.,"A project to perform bridge maintenance on various structures at locations in one or more of the following counties: Alleganny, Chemung, Schuyler Steuben and Yates counties.",2019-02-07T00:00:00.000,965647.38,0,965647.38,2020-01-01T00:00:00.000,GREEN,GREEN
6JOC17,D263600,06 SOUTHERN TIER/CENTRAL NEW YORK,JOB ORDER CONTRACT: CULVERT MAINTENANCE,"CULVERT MAINTENANCE TO ADDRESS IDENTIFIED MAINTENANCE NEEDS AT VARIOUS LOCATIONS IN ONE OR MORE OF THE FOLLOWING COUNTIES: ALLEGANY, CHEMUNG, SCHUYLER, STEUBEN AND YATES COUNTIES.",Under Construction,Summer 2017,11/30/2017,,,,No,Yes,No,This project involves the repair and replacement of culverts.,"A project to perform culvert maintenance at various locations in one or more of the following counties: Allegany, Chemung, Schuyler, Steuben and Yates counties.",2018-01-22T00:00:00.000,475461.97,330000,805461.97,2018-12-02T00:00:00.000,GREEN,RED
610864,D263827,06 SOUTHERN TIER/CENTRAL NEW YORK,"NY 14/SULLIVAN'S GLEN BRIDGE REP AND PAVING, T/O MONTOUR","NY 14/SULLIVAN'S GLEN BRIDGE REPLACEMENT, AND NY 14 PAVING FROM THE CHEMUNG/SCHUYLER COUNTY LINE TO THE NY 14/CATHERINE CREEK BRIDGE IN THE TOWN OF MONTOUR, SCHUYLER COUNTY.",Under Construction,Fall 2015,12/13/2018,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"A project to replace the bridge that carries NY 14 over Sullivan's Glen and pave NY 14 from the Chemung/Schuyler county line to the bridge that carries NY 14 over Catherine Creek bridge in the town of Montour, Schuyler County.",2019-02-12T00:00:00.000,2824796.33,0,2824796.33,2019-12-06T00:00:00.000,GREEN,GREEN
