Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
80969,D263428,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Completed Project,Spring 2016,2/9/2017,,,,No,Yes,No,This project involves emergency highway and bridge repairs.,This project proposes to provide for the emergency type maintenance / repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,2017-06-29T00:00:00.000,8785100,3299998,12085098,2019-05-01T00:00:00.000,YELLOW,RED
80952,D263212,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Completed Project,Winter 2014/2015,7/14/2016,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations will be selected based on the need to address safety concerns and to",2017-01-10T00:00:00.000,3786046.2,-270779.11,3515267.09,2018-11-29T00:00:00.000,RED,GREEN
80966,D263217,10 LONG ISLAND,VARIABLE MESSAGE SIGNS RETROFIT,Variable Message Signs - Retrofit existing signs to modernize dated technology for INFORM system on various federal eligible state highways in Nassau and Suffolk counties.,Completed Project,Winter 2015/2016,8/11/2016,,,,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.","This project proposes to retrofit the existing variable message signs (VMS) technology to use all Light Emitting Diode (LED) technology. Retrofitting the existing variable message signs allows continued use of the existing sign enclosures, ground mounted ",2016-09-13T00:00:00.000,3848628,97014.21,3945642.21,2018-08-24T00:00:00.000,RED,GREEN
51736,D263287,10 LONG ISLAND,WSP RESURFACING OP TO NSP,"Pavement rehabilitation  on WSP between OP and NSP including full depth pavement repairs, milling off 2 inches of existing pavement and replacing in kind. Towns of Oyster Bay, Hempstead and N Hempstead Nassau County",Completed Project,Summer 2016,2/16/2017,,,,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project proposes to restore the pavement riding surface on the Wantagh State Parkway between Ocean Parkway and the Northern State Parkway to a smooth and distress free condition by repairing and milling and resurfacing the existing pavement. All prop,2017-05-25T00:00:00.000,18693360,494208.41,19187568.41,2018-08-03T00:00:00.000,RED,GREEN
XM1750,D263818,11 NEW YORK CITY,"ADA REQUIREMENTS IN RICHMOND, NY & KINGS COS., NYC","Build curb ramps, crosswalks and sidewalks at various locations in Richmond, Kings & NY counties as mandated by 28 CFR 35.150 to be included in the NYSDOT ADA Transition Plan. Non-accessible assets identified will be brought up to accessible standards",Under Construction,Winter 2016/2017,12/13/2018,,,,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This project will build compliant American with Disabilities Act (ADA) curb ramps, crosswalks and sidewalks at various locations in Richmond, Kings and New York Counties, New York City.",2019-03-07T00:00:00.000,2947695,0,2947695,2020-07-27T00:00:00.000,GREEN,GREEN
X73149,D263747,11 NEW YORK CITY,ARTHUR SHERIDAN ENHANCEMENT,"Enhance Arthur V. Sheridan Expressway (I-895) to provide the community with a safe & accessible route to  the waterfront and park in Bronx County, NYC.",Under Construction,Winter 2014/2015,7/13/2018,,,,Yes,Yes,No,This project involves reconstructing a concrete highway.,"This project will install new intersections with pedestrian crossing at the Arthur V. Sheridan Expressway (I-895) located in Bronx County, New York City.",2018-09-05T00:00:00.000,53911446.55,82503.3,53993949.85,2019-12-02T00:00:00.000,GREEN,GREEN
XM1748,D263562,11 NEW YORK CITY,"ASPHALT PAVMT PRESERVATION MAINTENANCE PROJECT, VARIOUS LOC",Maintenance Repair / Resurfacing of Asphalt Pavement at Various Locations in New York City to Extend the Service Life of the Pavement on State Highway System.,Under Construction,Winter 2016/2017,12/14/2017,,,,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will replace and install new asphalt pavement and perform underlying concrete repair on state highway roadways at various locations in the Boroughs of Manhattan, Bronx, Queens, Brooklyn, and Staten Island, New York City.  ",2018-03-06T00:00:00.000,16487000,1073434.11,17560434.11,2019-12-11T00:00:00.000,GREEN,YELLOW
XM1656,D263750,11 NEW YORK CITY,BRIDGE EXPANSION JOINTS REPLACEMENT AT VARIOUS LOCATIONS NYC,"Preventive and Corrective Maintenance - Bridge Armored Expansion Joints  Replacement on State Highway System to extend Service Life at Various Locations in New York City BINS 1055009, 1055149, 1055189, 1055250 etc. 87 BINs total",Under Construction,Summer 2015,8/23/2018,,,,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,This project will remove and replace existing bridge joints (armored joint headers) and joint sealer on bridge decks located in all counties of New York City.,2018-10-11T00:00:00.000,29213325,-761000,28452325,2021-04-27T00:00:00.000,GREEN,GREEN
XM1451,D262962,11 NEW YORK CITY,BRIDGE MAINTENANCE REPAIRS - ALL COUNTIES IN NEW YORK CITY,Preventive and Corrective Maintenance Repairs of NYS Bridges to Extend the Service Life of the Structures.  NYC All Counties,Under Construction,Spring 2013,10/8/2015,,,,No,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,MAINTENANCE REPAIR TO VARIOUS BRIDGE ELEMENTS IN VARIOUS LOCATIONS IN NEW YORK CITY ON THE STATE HIGHWAY SYSTEM,2015-11-27T00:00:00.000,28574596,1796950.34,30371546.34,2019-05-29T00:00:00.000,RED,YELLOW
XM1651,D263372,11 NEW YORK CITY,BRIDGE MAINTENANCE REPAIRS - ALL COUNTIES IN NEW YORK CITY,Preventive and Corrective Maintenance Repairs of NYS Bridges to Extend the Service Life of the Structures.  NYC All Counties,Under Construction,Spring 2015,3/9/2017,,,,No,Yes,No,This project involves bridge repairs as needs arise.,MAINTENANCE REPAIR TO VARIOUS BRIDGE ELEMENTS IN VARIOUS LOCATIONS IN NEW YORK CITY ON THE STATE HIGHWAY SYSTEM,2017-05-04T00:00:00.000,19119060,1604283.1,20723343.1,2020-03-07T00:00:00.000,GREEN,YELLOW
XM1922,D263809,11 NEW YORK CITY,CORRECTIVE MAINTENANCE REPAIR CONTRACT (NSCO),"Address NSCO, flags & other conditions on bridge structures and highways in a timely manner to maintain traffic on state owned highways in All Counties in NYC.",Under Construction,Spring 2018,12/13/2018,,,,No,Yes,No,This project involves emergency bridge repairs.,"Perform maintenance repairs to bridges and highways to maintain a state of good repair and extend the service life of state owned bridges and highways in Queens, Kings, Bronx, Richmond & New York counties.",2019-04-16T00:00:00.000,26680095,0,26680095,2020-04-01T00:00:00.000,GREEN,GREEN
XM1860,D263918,11 NEW YORK CITY,CORRECTIVE & PREVENTIVE MAINTENANCE OF RETAINING WALLS,CORRECTIVE AND REVENTIVE MAINTENANCE  OF MASONRY ON RETAINING WALLS,Under Construction,Summer 2015,3/28/2019,,,,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,"This project will repair and restore brick, stone veneer and coping stones on retaining walls that includes calking of openings/cracks at various locations in Queens County, New York City.",2019-06-25T00:00:00.000,14199865.45,0,14199865.45,2021-01-17T00:00:00.000,GREEN,GREEN
XM1560,D263392,11 NEW YORK CITY,CORRECTIVE REPAIRS OF THREE BRIDGES AT JEWEL AVENUE OVER VWE,"Corrective repairs of 3 bridges at Jewel Avenue over  VWE in  Queens County.  BINs 1055779, 105577A & B",Under Construction,Fall 2015,3/30/2017,,,,No,Yes,No,This project involves general bridge repairs.,This project will provide maintenance repairs of three bridges on Van Wyck Expressway near Jewel Avenue in Queens County.,2017-06-15T00:00:00.000,12707000,1134275.17,13841275.17,2018-12-23T00:00:00.000,GREEN,YELLOW
X03413,D263760,11 NEW YORK CITY,CVE EXIT RAMP TO UNION TPK WIDENING TO ALLEVIATE CONGESTION,"South Bound CVE Exit Ramp to Union Turnpike widening to alleviate a congestion in Queens Co., NYC",Under Construction,Winter 2016/2017,8/9/2018,,,,No,Yes,No,This project involves the widening of highways.,This project will widen the existing ramp exit at Union Turnpike (Exit 2) from one lane to three lanes that will provide two lanes turning left (east) to Union Turnpike and a separate lane turning right (west) to Union Turnpike located at Southbound Clear,2018-09-24T00:00:00.000,2797590.96,-665.5,2796925.46,2019-07-10T00:00:00.000,GREEN,GREEN
X73147,D900041,11 NEW YORK CITY,"DECK REPLACEMENT OF FIVE BRIDGES ON I-278, KINGS & RICHMOND","Deck replacement & substructure rehabilitation of five I-278 bridges in Kings & Richmond counties to extend service life and assure continued safe operation, BIN's 1067821, 1067822, 1075751, 1075752, 1065260",Under Construction,Spring 2016,4/13/2018,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will repair the bridge steel and concrete elements such as the concrete deck, concrete substructures, bridge bearings and other deteriorated elements on Staten Island Expressway (I-278) bridges: Wesbound over Mosel Avenue Westbound; Eastboun",2018-07-24T00:00:00.000,77969790,0,77969790,2019-12-24T00:00:00.000,GREEN,GREEN
XM1701,D263867,11 NEW YORK CITY,"DRAINAGE CLEANING ON STATE BRIDGES AND HIGHWAYS, ALL NYC",Regional Drainage Cleaning on Highways and Bridges to Enhance Safety and sustainability on All State - Owned Bridges & Highways throughout the Five Boroughs of New York City,Under Construction,Fall 2016,1/24/2019,,,,No,Yes,No,This project involves bridge cleaning.,"This project will clean bridge drainage systems and perform bridge washing to remove road salt, dirt, bird droppings and other elements on bridges located in all counties of New York City.",2019-03-13T00:00:00.000,4556180.51,0,4556180.51,2021-04-24T00:00:00.000,GREEN,GREEN
XM1845,D263555,11 NEW YORK CITY,"EMERG REPAIR OF GUIDERAILS, FENCES & SIGNS - NYS HWYS IN NYC","Emergency Repairs of Guiderails, Fences and Signs to maintain Safety for the Traveling Public on the State Highway System at Various Locations in New York City.",Under Construction,Fall 2016,1/25/2018,,,,No,Yes,No,This project involves the rehabilitation of guiderails.,"This project will replace and/or repair guiderail, barrier, fencing , guide signs and other roadside appurtenances at various locations in all Boroughs of New York City on the State Highway System.  ",2018-03-29T00:00:00.000,3810999,999997.87,4810996.87,2020-05-03T00:00:00.000,GREEN,RED
XM1703,D263413,11 NEW YORK CITY,FDR SOUTH STREET VIADUCT PAINTING,"Cleaning and Painting of the Structural Steel on FDR Drive (907L) - South Street Viaduct from Coenties Slip to Jackson Street in NY County, NY to protect steel girders from damage and prolong the useful life of the bridge. BIN 2232019",Under Construction,Fall 2016,3/30/2017,,,,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,"This project will clean and paint the structural steel on Franklin D. Roosevelt East River Drive (Route 907L) - South Street Viaduct from Coenties Slip to Jackson Streeet in New York County, NY.   This project is 1.66 miles in length and will clean and pa",2017-05-17T00:00:00.000,31190000,3750000,34940000,2019-05-05T00:00:00.000,GREEN,RED
X73128,D262963,11 NEW YORK CITY,"GOWANUS EXPY STEEL REPAIRS CONT. 1. KINGS, NYC","Structural Stl Repair on Gowanus Expwy Viaduct from 92nd Street to 48th Street in Kings Co., NYC to Remove Structural Deficiencies, extend service life and ensure motorists safety.  BINS: 106531H,106531I,106531J,1076750, 1076849, 106531L,106531M&1076740",Under Construction,Summer 2006,12/16/2015,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,The Gowanus Expressway Viaduct from 6th Avenue to 48th Street in Kings County will undergo structural steel repairs and localized steel painting. This work will be done to address structural deficiencies.,2016-04-18T00:00:00.000,52841785,17084030.78,69925815.78,2019-07-01T00:00:00.000,RED,RED
X05167,D263536,11 NEW YORK CITY,GUIDERAIL UPGRADE ON GCP BETWEEN 31ST ST & NASSAU CO. LINE,"Guidrail upgrade on Grand Central Parkway between 31st Street and Nassau County Line in Queens County, New York City. The Purpose of this Project is to Improve the Roadside Safety for Motorists by Upgrading non Standard Guidrails",Under Construction,Spring 2016,1/11/2018,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will install guiderail end terminal and upgrade transitions between concrete barriers and guiderails on Grand Central Parkway between 31st Street and Nassau County Line in Queens County, New York City. ",2018-02-12T00:00:00.000,6645608,774880,7420488,2019-03-19T00:00:00.000,GREEN,RED
X05160,D900043,11 NEW YORK CITY,KGI INFRASTRUCTURE & OPERATIONAL IMPROVEMENT IN QUEENS CO.,"Kew Gardens Interchange infrastructure, mobility and operational improvement on Jackie Robinson Parkway, Grand Central Parkway, Union Turnpike and Van  Wick expressway in Queens county, NYC",Under Construction,Spring 2005,7/3/2018,,,,Yes,Yes,No,This project involves the building of new bridges.,"This project will replace highway viaducts and ramp structures; realign ramps and add highway shoulders; install multi-use path for pedestrian and bicycle usage along the Kew Gardens Interchange (an intersection of the Grand Central Parkway, the Van Wyc",2018-10-18T00:00:00.000,365706001,0,365706001,2022-05-04T00:00:00.000,GREEN,GREEN
XM1825,D263774,11 NEW YORK CITY,"LANDSCAPE REQUIREMENTS WATERING AND WEEDING, IN NYC",Landscaping Requirements Including watering and weeding fiive Counties of New York City,Under Construction,Spring 2017,9/27/2018,,,,No,Yes,No,This project involves improving the landscape along roads.,"This project will restore landscaping that includes, soil restoration, tree transplanting, sidewalk, wall and fence work located within various locations of New York City five boroughs (Bronx, Queens, Manhattan, Staten Island and Brooklyn).",2019-01-08T00:00:00.000,1733953,0,1733953,2020-01-20T00:00:00.000,GREEN,GREEN
X80599,D263106,11 NEW YORK CITY,MAINTAIN & SUPPORT ALL NYC INTELLIGENT TRANSPORTATION SYSTEM,Provide Maintenance and Field Support for the Intelligent Transportation System to keep it operational on the State Highway System in New York City Five Boroughs.,Under Construction,Spring 2015,6/2/2016,,,,Yes,Yes,No,This project involves the managing and clearing of incidents along freeways.,"The project scope includes the maintenanace & repairs/replacements of the existing citywide Intelligent Transportation System . The equipment includes Closed Circuit Cameras, Varible Message Signs, Communication System, VARIOUS HIGHWAYS.",2016-12-22T00:00:00.000,7491730,1115001,8606731,2019-04-07T00:00:00.000,GREEN,RED
XM1260,D263261,11 NEW YORK CITY,"MAINTENANCE OF RETAINING WALLS. BNX, KINGS & NY IN NYC","Maintenance Repair & Preventive Maintenance of Various Elements on Retaining Walls in Bronx, Kings and New York Counties, NYC. This project will address the Wall Deficiencies & Enhance Highway Safety for the Traveling Public on the State Highway System.",Under Construction,Fall 2012,11/17/2016,,,,No,Yes,No,This project involves the building of retaining walls to protect traffic.,MAINTENANCE REPAIR AND PREVENTIVE MAINTENANCE OF VARIOUS ELEMENTS ON RETAINING WALLS TO ADDRESS THE WALL DEFICIENCIES AND ENHACE SAFETY ON THE STATE HIGHWAY SYSTEM ON HIGHWAYS IN NEW YORK CITY,2017-03-24T00:00:00.000,9288916,956872.45,10245788.45,2019-04-30T00:00:00.000,GREEN,RED
XM1749,D263696,11 NEW YORK CITY,MAINTENANCE REPAIR OF CONCRETE PAVEMENT IN NYC,MAINTENANCE REPAIR OF CONCRETE PAVEMENT TO EXTEND THE SERVICE LIFE OF THE PAVEMENT ON STATE HIGHWAY SYSTEM AT VARIOUS LOCATIONS IN NEW YORK CITY,Under Construction,Winter 2016/2017,3/22/2018,,,,No,Yes,No,This project involves repairing concrete pavement.,"This project will replace and install new asphalt pavement and perform underlying concrete repair on state highway roadways at various locations in the Boroughs of Manhattan, Bronx, Queens, Brooklyn, and Staten Island, New York City.",2018-08-29T00:00:00.000,9785578,2244000,12029578,2020-07-07T00:00:00.000,GREEN,RED
XM1649,D263361,11 NEW YORK CITY,MAINTENANCE REPAIR OF CONCRETE PAVEMENT IN NYC,Maintenance repaira of concrete pavement to extend the service life of the pavement on state highway system in NYC; Installation of concrete  barriers to separate w/b Korean War Veterans traffic from from s/b W. Shore Expy traffic.,Under Construction,Winter 2015/2016,2/23/2017,,,,No,Yes,No,This project involves repairing concrete pavement.,"This project will install new concrete barrier to separate west bound Korean War Veterans Parkway traffic from south bound West Shore Expressway traffic approaching the Outerbridge Crossing. In addition, installation of a sidewalk and associated appurtena",2017-05-26T00:00:00.000,11265257.05,-157.9,11265099.15,2018-11-21T00:00:00.000,GREEN,GREEN
X05810,,11 NEW YORK CITY,"OCEAN PKWY SAFETY IMPROVEMENTS. KINGS CO, NYC","Install New Traffic and Pedestrians Signals, Signal Timing  Modifications, Upgrade Curb Ramps to meet ADA Standards and Upgrade Signs on Ocean Parkway from Church Avenue to Shore Parkway in Kings County, NYC to Improve Pedestrians and Bicyclists Safety",Under Construction,Fall 2013,Fall 2015,Fall 2015,Winter 2018/2019,8800000,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","Improve pedestrians and bicyclists safety along the Ocean Parkway corridor in New York city by installing new traffic and pedestrians signals at some intersections, signal timing modifications, upgrading curb ramps to meet ADA standards and upgrading sign",,,,,,,
X09633,D263626,11 NEW YORK CITY,"OPERATIONAL IMPROVEMENTS ON SB W. SHORE EXPWY, RICHMOND CO.","Operational Improvements on Southbound West Shore Expressway between Victory Boulevard on ramp and Muldoon Avenue/Arden Avenue off ramp (Exit 5) in Richmond County, NYC. BIN 1-06973-2",Under Construction,Spring 2017,1/11/2018,,,,Yes,Yes,No,This project involves the construction or reconstruction of road shoulders.,"This project will reconstruct 1.9 lane miles of shoulders on Southbound West Shore Expressway to provide an auxiliary lane between Victory Boulevard and Muldoon Avenue/Arden Avenue off ramp (Exit 5) in Richmond County, New York City.",2018-02-26T00:00:00.000,6989789.7,180054.51,7169844.21,2019-10-29T00:00:00.000,GREEN,GREEN
XM1849,D263772,11 NEW YORK CITY,PAVEMENT PRESERVATION MAINTENANCE PROJECT,PAVEMENT PRESERVATION MAINTENANCE TO EXTEND THE SERVICE LIFE OF THE PAVEMENT ON STATE HIGHWAY SYSTEM AT VARIOUS LOCATIONS IN NEW YORK CITY,Under Construction,Winter 2017/2018,8/9/2018,,,,No,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This project will replace and install new asphalt pavement and perform underlying concrete repair on state highway roadways at various locations in the Boroughs of Manhattan, Bronx, Queens, Brooklyn, and Staten Island, New York City.",2018-10-04T00:00:00.000,26715991.7,4901284.5,31617276.2,2021-03-01T00:00:00.000,GREEN,RED
X11025,D263501,11 NEW YORK CITY,"REALIGNMENT OF THE BRONX RIVER PKWY AT GUN HILL RD. BX, NYC","Realign Bronx River Pkwy Mainline at Gun Hill Rd Exits. Project to include Construction of Deceleration Lane in the NB Direction; Widening of Existing Exit Ramps to 2 Lanes & Install Concrete Median Barrier to Reduce Accidents & Improve Mobility. Bx, NYC",Under Construction,Winter 2011/2012,7/27/2017,,,,Yes,Yes,No,This project involves work to align roads and highways.,"This project will add a deceleration lane and extend the limits of the two-lane northbound off ramp confirguration at the Bronx River Parkway ramps at Gun Hill Road in Bronx County, New York City. ",2017-08-22T00:00:00.000,8484000,-137717.83,8346282.17,2018-11-04T00:00:00.000,GREEN,GREEN
XM1802,D263825,11 NEW YORK CITY,"REGIONAL BRIDGE WASHING, ALL COUNTIES IN NYC","Regional bridge washing, all counties of New York city",Under Construction,Winter 2017/2018,11/8/2018,,,,Yes,Yes,No,This project involves bridge cleaning.,"This project is of a cyclical nature associated with the Department's preventive maintenance bridge and highway program. The work consist of washing all bridges surface to remove road salt, dirt, bird droppings and other elements, including but not limite",2018-12-24T00:00:00.000,3094000,-2,3093998,2021-02-16T00:00:00.000,GREEN,GREEN
X72699,D900039,11 NEW YORK CITY,REHAB 3 BRIDGES ALONG CROSS BRONX EPWY HIGH-BR INTERCHANGE,"Rehabilitation of Three Ramps at the Alexander Hamilton Bridge Interchange in Bronx County, NYC to extend the service life of the structures and ensure motorists' safety. BINS: 1066870, 1066850, 106685B.",Under Construction,Spring 1992,7/26/2017,,,,Yes,Yes,No,This project involves replacing bridge decks.,"Rehabilitation of Three Ramps at the Alexander Hamilton Bridge Interchange in Bronx County, NYC to extend the service life of the structures and ensure motorists' safety.",2017-11-17T00:00:00.000,138780000,0,138780000,2019-07-06T00:00:00.000,GREEN,GREEN
X73145,D900040,11 NEW YORK CITY,"REHABILITATION OF BRUCKNER BLVD VIADUCT (278I). BRONX, NYC","Rehabilitation of a half-mile section of the Bruckner Expressway (I-278) Viaduct and Six Ramps from approximately E.134th St. to East 141st St., enhancing the Structural Integrity and Improving Safety for Motorists. BINS:1066669,106666A; B; C; D; 1066",Under Construction,Spring 2014,11/1/2017,,,,Yes,Yes,Yes,This project involves replacing bridge decks.,"Rehabilitation of a half-mile section of the Bruckner Expressway (I-278) Viaduct and Six Ramps from approximately East 134th St. to East 141st St., enhancing the Structural Integrity and Improving Safety for Motorists.",2018-02-15T00:00:00.000,204170000,0,204170000,2020-04-01T00:00:00.000,GREEN,GREEN
X72039,D263821,11 NEW YORK CITY,"REHAB OF MDE BETWEEN W.161 ST. & HIGHBRIDGE INT BRONX CO, NY","Rehabilitation of MDE Between W.161st Street and Highbridge Interchange (BINS 1067451, 1066840) and Rehabilitation Depot Place Bridge over MDE (BIN 1067452) in Bronx Co., NYC",Under Construction,Spring 2003,2/15/2019,,,,Yes,Yes,Yes,This project involves the removal of a bridge.,"This project will replace two Major Deegan Expressway bridges with at grade section, and replace concrete deck on Depot Place bridge over Major Deegan Expressway in Bronx County, New York City.",2019-05-23T00:00:00.000,118975000,0,118975000,2022-03-09T00:00:00.000,GREEN,GREEN
XM1342,D263552,11 NEW YORK CITY,"REPLACE SIGN PANELS AND SIGN STR, VARIOUS LOCATIONS IN NYC",Replacement of Sign Panels and Sign Structures at Various Locations throughout New York City to Improve Safety on the Highway System.,Under Construction,Spring 2014,11/30/2017,,,,No,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace sign structures and sign panels at various locations in all counties of New York City.,2018-03-15T00:00:00.000,5969508.86,-1,5969507.86,2020-02-02T00:00:00.000,GREEN,GREEN
XM1765,D263530,11 NEW YORK CITY,REPLACE SIGN PANELS AT VARIOUS LOCATION IN NYC,"Replacement of Sign Panels on State Highways  in the Bronx, Kings, Queens & Richmond Counties NYC to provide the travelling motorists with adequate Retroreflectivity for Night Time Visibility.",Under Construction,Spring 2015,1/11/2018,,,,No,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace sign panels on Long Island Expressway, Prospect Expressway, Korean War Veterans Parkway, Grand Central Parkway, Northern Boulevard Viaduct, Nassau Expressway, Bronx River Parkway, Clearview Expressway, Brooklyn-Queens Expressway,",2018-02-26T00:00:00.000,3284318,196790,3481108,2019-09-25T00:00:00.000,GREEN,YELLOW
X73575,D263208,11 NEW YORK CITY,REPLACE VAN WYCK EXPY VIADUCTS AT KEW GARDEN INTERCHANGE,"Improve Kew Gardens Interchange - Phase 2B in Qns, to Remove Structural Deficiences on Van Wyck Expwy Viaducts & also Modify Existing Ramps & Construct Aux Ln through Interchange on Mainlines to Improve Motorists Mobility. BINS:1055750,1076090 & 105575A",Under Construction,Summer 2005,11/16/2016,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,Replacement of the SB VWE Viaduct (BIN 1-05575-0)  Replacement of the Ramp KA Bridge (BIN 1-07609-0)  Rehabilitation of the SB VWE Connection to WB JRP (BIN 1-05575-A)  Realignment of At- Grade MTA Yard Perimeter road  Addition of Dedicated Exit Lane on S,2017-04-21T00:00:00.000,109692000,-460.59,109691539.4,2019-10-21T00:00:00.000,GREEN,GREEN
X72977,D263452,11 NEW YORK CITY,"REPL K-BR OVER NEWTOWN CR-CONT 2. KGS & QNS COS, NYC","Replacement of Kosciuszko Bridge over Newtown Creek from Morgan Ave to Long Island Expwy Interchange in Kings and Queens Counties to ensure Structural Integrity, Motorist Safety & to provide Operational  Improvements. Contract 2; 3 BIN's 1079732 & Others",Under Construction,Fall 1994,5/24/2017,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.," This project will replace the existing Kosciuszko Bridge and construct a new Westbound (or Brooklyn-bound) Main Span, Brooklyn Approach and Queens Approach structures within the footprint of the existing bridge.  The project will also reconstruct the rem",2017-07-26T00:00:00.000,317921881.4,-24237.91,317897643.5,2019-07-11T00:00:00.000,GREEN,GREEN
XM1855,D263919,11 NEW YORK CITY,RESEALING AND REPLACEMENT OF BRIDGE DECK JOINTS IN NYC,Preventive and Corrective Maintenance - Bridge Expansion Joints Resealing and Repairs on State Highway System to extend Service Life at Various Locations in New York City,Under Construction,Winter 2017/2018,4/11/2019,,,,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,This project will replace and reseal bridge deck joints at various locations in all counties of New York City.,2019-05-30T00:00:00.000,17817148,0,17817148,2022-01-19T00:00:00.000,GREEN,GREEN
X07154,D263814,11 NEW YORK CITY,RESTORATION OF FDR DR HGWY/BR ELEMENTS DAMAGED BY SUPERSTORM,"Repair FDR bridge elements damaged by the flooding from Superstorm Sandy that includes the bridge pier columns, base pedestals and paint; repair highway pavement, barriers and joints. NY County, NYC. BINs 2232019 & 1077069",Under Construction,Summer 2016,12/13/2018,,,,Yes,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This project will rehabilitate bridge elements such as the pier columns, base pedestals and paint and also repair highway pvement, barriers and joints on the Franklin D. Roosevelt (FDR) Drive along South Street Viaduct and 42nd Street northbound Off-Ramp ",2019-03-05T00:00:00.000,13020000,0,13020000,2020-05-30T00:00:00.000,GREEN,GREEN
X02445,D263820,11 NEW YORK CITY,"ROUTE 9A BIKEWAY SECURITY PROJECT, W 59TH ST TO BATTERY PL","Install permanent security control measures to prevent future unwanted vehicular  admittance to the bikeway. Permanent access controls are planned to be installed at 93 locations along this route from battery pl to 59th st., NYC  ",Under Construction,Summer 2018,9/27/2018,,,,No,Yes,No,This project involves the building or maintenance of bicycle facilities.,"In direct response to an act of terrorism which made use of a motor vehicle on the NY Route 9A Bikeway on October 31, 2017, NYSDOT is taking measures to install permanent security control measures to prevent future unwanted vehicular admittance to the bik",2018-11-28T00:00:00.000,6074055,-880,6073175,2019-05-21T00:00:00.000,GREEN,GREEN
XM1921,D263839,11 NEW YORK CITY,WHERE AND WHEN BRIDGE STEEL REPAIR,Perform emergency steel repairs to maintain state of good repair and extend service life of state owned bridges in NYC.,Under Construction,Spring 2018,11/29/2018,,,,No,Yes,No,This project involves emergency bridge repairs.,Perform emergency steel repairs to maintain state of good repair and extend service life of state owned bridges in NYC.,2019-01-17T00:00:00.000,10555555,0,10555555,2021-02-07T00:00:00.000,GREEN,GREEN
XM1721,D263267,11 NEW YORK CITY,"WHERE AND WHEN BRIDGE STEEL REPAIRS, ALL NYC COUNTIES",Repair flagged conditions on steel structures (bridges) in a timely and efficient manner to maintain traffic on state owned arterial highways in New York City.,Under Construction,Spring 2016,12/15/2016,,,,No,Yes,No,This project involves bridge repairs as needs arise.,This project is a When and Where contract that will repair flagged conditions on steel structures (bridges) under state jurisdication located in all the boroughs of New York City.,2017-01-25T00:00:00.000,9780350,7900000,17680350,2019-02-02T00:00:00.000,GREEN,RED
XM1920,D263780,11 NEW YORK CITY,"WHERE & WHEN BRIDGES REPAIRS, ALL NYC",Where & When Bridges Repairs. This project will address Bridge Demand Maintenance Repairs in New York City.,Under Construction,Fall 2017,9/13/2018,,,,No,Yes,No,This project involves bridge repairs as needs arise.,This project will address repairs on highways and bridges in the State Highway System for all Boroughs of New York City.,2018-10-29T00:00:00.000,10665300,0,10665300,2020-02-18T00:00:00.000,GREEN,GREEN
